1,Chicago
2,New York City
3,Houston
4,Las Vegas
5,Philadelphia
6,Los Angeles
7,Shorewood
8,Nashville
9,Atlanta
10,Miami
11,Cleveland
12,Seattle
13,Dallas
14,Charlotte
15,Midland
16,San Francisco
17,Oklahoma City
18,Pittsburgh
19,Minneapolis
20,Boston
21,Jersey City
22,Mobile
23,Detroit
24,Atlantic City
25,Denver
26,Indianapolis
27,New Orleans
28,Tampa
29,Austin
30,Tulsa
31,Cincinnati
32,Sunny Isles Beach
33,Omaha
34,Kansas City
35,San Antonio
36,Milwaukee
37,St. Louis
38,Orlando
39,La Porte
40,Miami Beach
41,Columbus
42,Washington D.C.
43,Louisville
44,Portland
45,Raleigh
46,Jacksonville
47,Baltimore
48,Hartford
49,Cape Canaveral
50,Evanston
51,Virginia Beach
52,Hallandale Beach
53,San Diego
54,Fort Lee
55,Montville
56,White Plains
57,Phoenix
58,St. Paul
59,Newark
60,Winston-Salem
61,Baton Rouge
62,Burbank
63,Bellevue
64,Des Moines
65,Fort Lauderdale
66,Honolulu
67,Norfolk
68,Fort Worth
69,Hollywood
70,Rochester
71,Fort Wayne
72,New Rochelle
73,Memphis
74,Providence
75,Salt Lake City
76,Oakbrook
77,Aventura
78,Guttenberg
79,Reno
80,Lexington
81,Clayton
82,Grand Rapids
83,Dayton
84,Oakland
85,South Padre Island
86,Sacramento
87,Southfield
88,Agawam
89,Riviera Beach
90,Toledo
91,Lincoln (NE)
92,Long Beach
93,Itasca
94,Birmingham (AL)
95,Albany
96,Arlington
97,Bristol (CT)
98,Galveston
99,St. Petersburg (FL)
100,Bloomington
101,Pearl City (Oahu)
102,Buffalo
103,Orange Beach
104,Camden
105,Fort Myers
106,Glendale
107,Marco Island
108,Tempe
109,Alexandria (VA)
110,Tacoma
111,Biloxi
112,Richmond
113,Bethlehem
114,West Palm Beach
115,Akron
116,Wilmington
117,Tucson
118,Tallahassee
119,
120,New Haven
121,Roanoke
122,Boise
123,Hoboken
124,Syracuse
125,Covington
126,Boca Raton
127,Springfield (MA)
128,New Brunswick
129,Lansing
130,Anchorage
131,Bartlesville
132,Worcester
133,Peoria
134,Waco
135,Michigan City
136,Cambridge
137,West Sacramento
138,Manchester (NH)
139,Lubbock
140,Newport
141,Billings
142,Charleston
143,Bethesda
144,Harrisburg
145,Portsmouth (RI)
146,Bismarck
147,El Paso
148,Asheville
149,McAllen
150,Oak Park
151,Ventnor City
152,Fargo
153,Meridian
154,Silver Spring
155,East Chicago
156,Portland (ME)
157,Gary
158,North Miami Beach
159,Binghamton
160,Joliet
161,Royal Oak
